Document UT,Times Cited
WOS:000564864100005,2
WOS:000566991200008,2
WOS:000550053700002,2
WOS:000548770400004,2
WOS:000573278900008,2
WOS:000574039500004,2
WOS:000558201600002,2
WOS:000576646800010,2
WOS:000609095400009,2
WOS:000583594600001,2
WOS:000585843500001,2
WOS:000586580000001,2
WOS:000580476900048,2
WOS:000593208600003,2
WOS:000594648300002,2
WOS:000598305000001,2
WOS:000555784500001,2
WOS:000535861200011,2
WOS:000553679400001,2
WOS:000510953800008,2
WOS:000510953800048,2
WOS:000595366700002,2
WOS:000602743600001,2
WOS:000603072600008,2
WOS:000612135100474,2
WOS:000636054900003,2
WOS:000476063900001,1
WOS:000488073600003,1
WOS:000821074100003,1
WOS:000814156600003,1
WOS:000759537700052,1
WOS:000514055600001,1
WOS:000525368300015,1
WOS:000557911000007,1
WOS:000527007100026,1
WOS:000535458700003,1
WOS:000537851200002,1
WOS:000538793200011,1
WOS:000541858600013,1
WOS:000542880300011,1
WOS:000544059000003,1
WOS:000548186100005,1
WOS:000558145400001,1
WOS:000562382900001,1
WOS:000560646800008,1
WOS:000560563800004,1
WOS:000562474600001,1
WOS:000562009500001,1
WOS:000548448600007,1
WOS:000570268500004,1
WOS:000570695300001,1
WOS:000577728500001,1
WOS:000558201600004,1
WOS:000558201600006,1
WOS:000558201600008,1
WOS:000577615800003,1
WOS:000577436100010,1
WOS:001134509000028,1
WOS:000583428800001,1
WOS:000584587200021,1
WOS:000593208600001,1
WOS:000593208600006,1
WOS:000598404900004,1
WOS:000571438900001,1
WOS:000534330800006,1
WOS:000510953800037,1
WOS:000600307000007,1
WOS:000599584300001,1
WOS:000600839700002,1
WOS:000596689000014,1
WOS:000603071100063,1
WOS:000609209200001,1
WOS:000611829400001,1
WOS:000618828900001,1
WOS:000634726400003,1
WOS:000653829500010,1
WOS:000679420700013,1
WOS:000664291200014,1
WOS:000664291200013,1
WOS:000494682000008,0
WOS:000487412500008,0
WOS:001176010800011,0
WOS:000787992100035,0
WOS:000854015100008,0
WOS:000841441400011,0
WOS:000831263500002,0
WOS:000831263500011,0
WOS:000800411800016,0
WOS:000800411800006,0
WOS:000509363700006,0
WOS:000510350700001,0
WOS:000508888500005,0
WOS:000509993300006,0
WOS:000510673900018,0
WOS:000512209200016,0
WOS:000512209200015,0
WOS:000514996800020,0
WOS:000515202200001,0
WOS:000645245500003,0
WOS:000519657900007,0
WOS:000523847500011,0
WOS:000514630700008,0
WOS:000526942100007,0
WOS:000532478400009,0
WOS:000530399500014,0
WOS:000535812701532,0
WOS:000537525900006,0
WOS:000538793200005,0
WOS:000539580900004,0
WOS:000541114500001,0
WOS:000541806100001,0
WOS:000533147900017,0
WOS:000533468800007,0
WOS:000533147900036,0
WOS:000546705800005,0
WOS:000548186100007,0
WOS:000537310600008,0
WOS:000548448600010,0
WOS:000548448600014,0
WOS:000569918300001,0
WOS:000548448600011,0
WOS:000572098700002,0
WOS:000558201600014,0
WOS:000558201600005,0
WOS:000558201600013,0
WOS:000558201600012,0
WOS:000558201600007,0
WOS:000558201600010,0
WOS:000577495000321,0
WOS:000577218900001,0
WOS:000577589300007,0
WOS:000579088400001,0
WOS:001134509000044,0
WOS:001270416400001,0
WOS:000583296900001,0
WOS:000586282500001,0
WOS:000591772200001,0
WOS:000593877900008,0
WOS:000595022000001,0
WOS:000591878500010,0
WOS:000597272600001,0
WOS:000590120200001,0
WOS:000575586000001,0
WOS:000558201600015,0
WOS:000562489400002,0
WOS:000531371900001,0
WOS:000530399500001,0
WOS:000509352400003,0
WOS:000600566400013,0
WOS:000597949100001,0
WOS:000595921200005,0
WOS:000600339800031,0
WOS:000603075800001,0
WOS:000603070800039,0
WOS:000604999400041,0
WOS:000605268700693,0
WOS:000619672100006,0
WOS:000619418000006,0
WOS:000636054900001,0
WOS:000651410800005,0
WOS:000629748100012,0
WOS:000623816700003,0
WOS:000625180000027,0
WOS:000635367800017,0
WOS:000635363200003,0
WOS:000613725700006,0
WOS:000679246602161,0
WOS:000664291200002,0
WOS:000661629800013,0
WOS:000667778400022,0
WOS:000710899700008,0
WOS:000573535900011,0
